-20,-3
"(-20, -2)",1
"(-19, -3)",1
-20,-2
"(-20, -3)",1
"(-20, -1)",1
"(-19, -2)",1
-20,-1
"(-20, -2)",1
"(-20, 0)",1
"(-19, -1)",1
-20,0
"(-20, -1)",1
-19,-3
"(-20, -3)",1
"(-19, -2)",1
"(-18, -3)",1
-19,-2
"(-20, -2)",1
"(-19, -3)",1
"(-19, -1)",1
"(-18, -2)",1
-19,-1
"(-20, -1)",1
"(-19, -2)",1
"(-18, -1)",1
-18,-37
"(-18, -36)",1
"(-17, -37)",1
-18,-36
"(-18, -37)",1
"(-18, -35)",1
"(-17, -36)",1
-18,-35
"(-18, -36)",1
"(-18, -34)",1
"(-17, -35)",1
-18,-34
"(-18, -35)",1
"(-18, -33)",1
"(-17, -34)",1
-18,-33
"(-18, -34)",1
"(-18, -32)",1
"(-17, -33)",1
-18,-32
"(-18, -33)",1
"(-18, -31)",1
"(-17, -32)",1
-18,-31
"(-18, -32)",1
"(-18, -30)",1
"(-17, -31)",1
-18,-30
"(-18, -31)",1
"(-18, -29)",1
"(-17, -30)",1
-18,-29
"(-18, -30)",1
"(-18, -28)",1
"(-17, -29)",1
-18,-28
"(-18, -29)",1
"(-18, -27)",1
"(-17, -28)",1
-18,-27
"(-18, -28)",1
"(-18, -26)",1
"(-17, -27)",1
-18,-26
"(-18, -27)",1
"(-18, -25)",1
"(-17, -26)",1
-18,-25
"(-18, -26)",1
"(-18, -24)",1
"(-17, -25)",1
-18,-24
"(-18, -25)",1
"(-18, -23)",1
"(-17, -24)",1
-18,-23
"(-18, -24)",1
"(-18, -22)",1
"(-17, -23)",1
-18,-22
"(-18, -23)",1
"(-18, -21)",1
"(-17, -22)",1
-18,-21
"(-18, -22)",1
"(-18, -20)",1
"(-17, -21)",1
-18,-20
"(-18, -21)",1
"(-18, -19)",1
"(-17, -20)",1
-18,-19
"(-18, -20)",1
"(-18, -18)",1
"(-17, -19)",1
-18,-18
"(-18, -19)",1
"(-18, -17)",1
"(-17, -18)",1
-18,-17
"(-18, -18)",1
"(-18, -16)",1
"(-17, -17)",1
-18,-16
"(-18, -17)",1
"(-18, -15)",1
"(-17, -16)",1
-18,-15
"(-18, -16)",1
"(-18, -14)",1
"(-17, -15)",1
-18,-14
"(-18, -15)",1
"(-18, -13)",1
"(-17, -14)",1
-18,-13
"(-18, -14)",1
"(-18, -12)",1
"(-17, -13)",1
-18,-12
"(-18, -13)",1
"(-18, -11)",1
"(-17, -12)",1
-18,-11
"(-18, -12)",1
"(-18, -10)",1
"(-17, -11)",1
-18,-10
"(-18, -11)",1
"(-18, -9)",1
"(-17, -10)",1
-18,-9
"(-18, -10)",1
"(-18, -8)",1
"(-17, -9)",1
-18,-8
"(-18, -9)",1
"(-18, -7)",1
"(-17, -8)",1
-18,-7
"(-18, -8)",1
"(-18, -6)",1
"(-17, -7)",1
-18,-6
"(-18, -7)",1
"(-18, -5)",1
"(-17, -6)",1
-18,-5
"(-18, -6)",1
"(-18, -4)",1
"(-17, -5)",1
-18,-4
"(-18, -5)",1
"(-18, -3)",1
"(-17, -4)",1
-18,-3
"(-19, -3)",1
"(-18, -4)",1
"(-18, -2)",1
"(-17, -3)",1
-18,-2
"(-19, -2)",1
"(-18, -3)",1
"(-18, -1)",1
"(-17, -2)",1
-18,-1
"(-19, -1)",1
"(-18, -2)",1
"(-17, -1)",1
-17,-37
"(-18, -37)",1
"(-17, -36)",1
"(-16, -37)",1
-17,-36
"(-18, -36)",1
"(-17, -37)",1
"(-17, -35)",1
"(-16, -36)",1
-17,-35
"(-18, -35)",1
"(-17, -36)",1
"(-17, -34)",1
"(-16, -35)",1
-17,-34
"(-18, -34)",1
"(-17, -35)",1
"(-17, -33)",1
"(-16, -34)",1
-17,-33
"(-18, -33)",1
"(-17, -34)",1
"(-17, -32)",1
